raw_feature_name,display_name,verified_description,description_status,dtype,observed_minimum,observed_maximum,special_value_codes,special_value_prevalence_percent,likely_availability_at_credit_decision_time,leakage_concern,sensitive_proxy_concern,preliminary_modelling_eligibility,preliminary_dice_actionability,notes
maximum_illegal_trades,Maximum Illegal Trades,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,8,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
nr_total_trades,Number Of Total Trades,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,104,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
nr_trades_initiated_in_last_year,Number Of Trades Initiated In Last Year,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,19,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
percentage_of_installment_trades,Percentage Of Installment Trades,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,100,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
months_since_last_inquiry_not_recent,Months Since Last Inquiry Not Recent,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,24,"-9, -8, -7",27.908977913758488,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
nr_inquiries_in_last_6_months,Number Of Inquiries In Last 6 Months,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,66,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
nr_inquiries_in_last_6_months_not_recent,Number Of Inquiries In Last 6 Months Not Recent,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,66,-9,5.621952385505306,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
net_fraction_of_revolving_burden,Net Fraction Of Revolving Burden,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,232,"-9, -8",7.400325078879434,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,partially actionable,Do not interpret special codes as ordered numeric measurements
net_fraction_of_installment_burden,Net Fraction Of Installment Burden,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,471,"-9, -8",38.31150205564586,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,partially actionable,Do not interpret special codes as ordered numeric measurements
nr_revolving_trades_with_balance,Number Of Revolving Trades With Balance,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,32,"-9, -8",7.11349077349651,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,partially actionable,Do not interpret special codes as ordered numeric measurements
nr_installment_trades_with_balance,Number Of Installment Trades With Balance,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,23,"-9, -8",13.85409694999522,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,partially actionable,Do not interpret special codes as ordered numeric measurements
nr_banks_with_high_ratio,Number Of Banks With High Ratio,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,18,"-9, -8",11.196099053446792,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,non-actionable,Do not interpret special codes as ordered numeric measurements
percentage_trades_with_balance,Percentage Trades With Balance,Detailed definition not provided by frozen source metadata; source feature name retained,UNCONFIRMED beyond source name,int64,-9,100,"-9, -8",5.794052968735061,"Likely credit-report information, but exact timing requires confirmation",No obvious leakage verified; definition and timing still require review,potential socioeconomic proxy / ordinary credit-behaviour variable,provisionally eligible,partially actionable,Do not interpret special codes as ordered numeric measurements
